instr,addr,pipe,call_count,cycles,running_time(us),detail
STI_XN_IMM,282120292,SCALAR,1,293,0.160000,"dtype:B64,XN:X30=0x108218,IMM:0x878,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,282120300,SCALAR,1,293,0.160000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107ac0,IMM:0x30,"
STP_XI_XJ_XN,282120296,SCALAR,1,293,0.160000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107a98,IMM:0,"
STI_XN_IMM,282120372,SCALAR,1,290,0.160000,"dtype:B32,XN:X30=0x108218,IMM:0xd58,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,282120376,SCALAR,1,290,0.160000,"dtype:B32,XN:X30=0x108218,IMM:0xd60,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,282120380,SCALAR,1,290,0.160000,"dtype:B32,XN:X30=0x108218,IMM:0xd5c,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,282120468,SCALAR,1,289,0.160000,"dtype:B64,XD:X3=0x107a90,XN:X2=0x100000,IMM:0,"
STI_XN_IMM,282120268,SCALAR,1,288,0.160000,"dtype:B32,XN:X30=0x108218,IMM:0x938,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,282120276,SCALAR,1,288,0.160000,"dtype:B64,XN:X30=0x108218,IMM:0x940,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,282120280,SCALAR,1,288,0.160000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107b60,IMM:0,"
ST_XD_XN_IMM,282120264,SCALAR,1,287,0.160000,"dtype:B32,XD:X0=0x7ff80,XN:X30=0x108218,IMM:0xd80,"
STI_XN_IMM,282120500,SCALAR,1,281,0.160000,"dtype:B32,XN:X30=0x108218,IMM:0x95c,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,282120352,SCALAR,1,274,0.150000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107b40,IMM:0,"
ST_XD_XN_IMM,282120416,SCALAR,1,272,0.150000,"dtype:B64,XD:X2=0x7,XN:X30=0x108218,IMM:0x890,"
